identifier,molecular_weight,alogp,qed_drug_likeliness,contains_sugar,np_likeness,np_classifier_pathway,np_classifier_superclass,fp_row_index,UMAP1,UMAP2
CNP0289071.1,330.42,4.04,0.44,False,3.37,Terpenoids,Sesquiterpenoids,605439,2.67135,5.0281544
CNP0483854.1,428.57,4.94,0.44,False,2.21,Terpenoids,Meroterpenoids,605458,4.8655014,3.2934682
CNP0486678.1,1053.78,22.78,0.03,False,0.4,Fatty acids,Glycerolipids,605477,9.584634,27.853716
CNP0570390.2,905.53,19.02,0.03,False,0.27,Fatty acids,Glycerolipids,605509,0.94074273,-18.28373
CNP0116543.0,235.67,3.13,0.87,False,-0.2,Alkaloids,Miscellaneous alkaloids,605557,8.713863,7.156842
CNP0196489.2,469.62,2.16,0.6,False,2.07,Polyketides,Macrolides,605560,5.3008876,5.7958884
CNP0582120.2,947.61,20.04,0.03,False,0.35,Fatty acids,Glycerolipids,605601,1.5619535,-12.224822
CNP0587998.2,821.37,16.67,0.03,False,0.3,Fatty acids,Glycerolipids,605604,-9.916131,-9.960924
CNP0306604.1,604.92,9.41,0.24,False,2.46,Terpenoids,Diterpenoids,605617,5.666086,2.7967412
CNP0420867.3,730.93,1.08,0.15,True,2.76,Terpenoids,Steroids,605618,12.7757435,-0.7835996
CNP0339822.3,602.81,5.74,0.11,False,1.53,Polyketides,Polyethers,605633,7.4652767,4.773307
